Cycle,CHS,SE,PHB,EMF2,NPR1,ANT,FLF,HAP3C,ABI3,AP3,LEC2
1,48,58,72,91,54,115,61,103,94,138,65
2,43,28,27,4,25,56,47,63,48,57,64
3,21,11,3,2,32,12,26,-9,32,26,74
4,1,-2,9,-9,-3,-2,21,17,43,21,44
5,5,-6,8,-18,2,13,12,-8,-2,0,24
6,6,0,-1,1,10,-7,-2,-7,-2,5,13
7,-3,5,6,-4,-25,-9,-1,5,2,11,0
8,-14,-3,0,0,-2,-4,-16,-12,-9,-12,6
9,-1,-7,-12,-4,-16,-18,-25,8,-1,-2,-6
10,3,3,3,6,2,5,23,-2,-2,10,23
11,-2,2,0,3,-3,-6,1,-8,16,-1,-2
12,9,4,11,10,7,16,2,-2,6,-1,-20
13,-14,0,-2,-7,-8,7,4,6,5,-6,-12
14,10,13,11,-4,-3,4,3,-7,-13,2,-24
15,32,11,-15,5,5,41,-2,8,-9,-6,-18
16,20,33,-20,24,31,17,-12,1,-8,-8,0
17,50,63,37,42,51,29,-13,2,-18,10,4
18,128,92,84,64,75,55,1,-10,1,23,12
19,270,185,137,83,106,74,0,9,-14,11,10
20,478,315,268,210,162,120,26,16,14,31,5
21,870,571,488,340,263,194,49,24,3,24,7
22,1557,1025,898,659,478,345,110,91,51,44,12
23,2544,1802,1615,1213,812,651,220,82,76,63,1
24,3808,2953,2693,2147,1432,1149,452,168,85,86,-14
25,5007,4329,4024,3509,2397,2085,850,310,189,184,9
26,5957,5685,5392,5149,3703,3450,1549,568,292,307,13
27,6557,6756,6417,6696,5121,5269,2717,1036,563,561,32
28,6932,7410,7192,7877,6328,7107,4397,1771,1058,1056,76
29,7132,7824,7597,8633,7123,8568,6240,2923,1882,1891,118
30,7411,8058,7911,9064,7661,9587,7850,4291,3188,3165,226
31,7512,8121,8082,9271,7916,10187,9004,5639,4921,4773,411
32,7579,8250,8125,9479,8138,10564,9554,6735,6686,6423,746
33,7601,8329,8267,9579,8246,10761,9908,7462,8217,7732,1358
34,7622,8342,8307,9593,8270,10896,10120,7870,9085,8579,2261
35,7652,8373,8299,9536,8353,11008,10297,8114,9695,9079,3485
36,7560,8342,8339,9619,8350,11025,10360,8250,9914,9438,4729
37,7686,8341,8317,9587,8431,11070,10354,8461,10140,9556,5851
38,7705,8372,8346,9620,8436,11148,10390,8445,10263,9653,6592
39,7717,8384,8394,9683,8465,11087,10444,8551,10342,9747,7078
40,7753,8410,8403,9672,8431,11195,10492,8529,10270,9762,7383
41,7720,8346,8409,9556,8389,11132,10429,8520,10380,9808,7439
42,7735,8399,8456,9698,8432,11164,10522,8540,10362,9812,7763
43,7813,8445,8401,9648,8469,11186,10466,8437,10398,9791,7838
44,7683,8418,8507,9695,8494,11146,10521,8576,10401,9834,7897
45,7778,8454,8480,9587,8558,11216,10476,8576,10486,9805,7950
46,7818,8463,8467,9678,8539,11159,10480,8545,10405,9843,7944
47,7824,8483,8450,9747,8555,11211,10514,8603,10411,9823,7983
48,7806,8477,8527,9700,8541,11215,10481,8543,10353,9866,8028
49,7820,8483,8482,9642,8592,11224,10503,8652,10465,9836,8017
50,7789,8499,8534,9727,8581,11142,10491,8677,10435,9840,8047